Instrument,ISIN,Mnemonic
ERSTE RESPON.STOCK GL A,AT0000A01GL7,IWTW
ERSTE RESP.RES.(T)(EUR),AT0000A03969,IWV6
MEINL EASTERN EUROPE T,AT0000A05JR9,M8F2
SPAE.IQAM QUA.EQ.EURO.RA,AT0000A090C9,FP83
S+T AG (Z.REG.MK.Z.)O.N.,AT0000A0E9W5,SANT
AUTOBANK AG INH.AKT.,AT0000A0K1J1,AW2
AMS AG,AT0000A18XM4,DQW1
OESTERREICH. POST AG,AT0000APOST4,O3P
KAPSCH TRAFFICCOM AG,AT000KAPSCH9,BZ6
BUWOG AG,AT00BUWOG001,BWO
1-PAGE LTD,AU0000001PG3,I8Y
88 ENERGY LTD,AU00000088E2,POQ
AURORA LABS LTD.,AU000000A3D7,0FR
AUSTRALIAN AGRICULT.,AU000000AAC9,AY5
ADELAIDE BR.,AU000000ABC7,GHO
AUSTRALIAN BAUXITE LTD.,AU000000ABX3,A7B
ACI-ANCHOR CAP.INVESTM.,AU000000ACI2,ACP
ALCHEMIA LTD,AU000000ACL6,QA9
ACCENT RES N.L.,AU000000ACS1,A2R
ACTIVISTIC LTD.,AU000000ACU7,CBS
ACTINOGEN MEDICAL LTD.,AU000000ACW3,3AC
ADX ENERGY,AU000000ADX9,GHU
ADMIRALTY RES,AU000000ADY7,AHS
ALGAE.TEC LTD,AU000000AEB3,GZA
AURA ENERGY LTD,AU000000AEE7,VU1
AVENIRA LTD,AU000000AEV1,WTP
AFRICAN ENERGY RES.CUFS1,AU000000AFR6,BP6
ANGLOGOLD ASHANTI CUFS/1,AU000000AGG7,AODC
AGL ENERGY,AU000000AGL7,N9Z1
ATLAS IRON LTD.,AU000000AGO1,ATU
ALLIANCE RESOURCES LTD.,AU000000AGS2,A5P
ARGOSY MINERALS LTD.,AU000000AGY0,AM1
ASALEO CARE LTD,AU000000AHY8,AL4
ALTURA MINING LTD,AU000000AJM9,HDG
ARMOUR ENERGY LTD,AU000000AJQ0,8AN
ALEXIUM INTERNATIONAL GRP,AU000000AJX6,E7T
AUSTIN EXPLORATION LTD,AU000000AKK1,JUE
ASPIRE MINING LTD,AU000000AKM7,WKU
